,jeju_solar,jeju_wind,land_solar,land_wind
5631,203.954503,46.67419401,3245.807068,2467.265645
5632,161.7974178,31.39610302,2856.461994,2433.325641
5633,84.76445706,21.93124688,1861.372554,2067.385504
5634,32.77931988,21.59407162,1320.163501,1960.984737
5635,14.91352412,29.50938324,1100.594743,2386.976838
5636,9.636454869,15.25310395,850.8206056,2250.599589
5637,2.459609951,0.624600361,384.374956,2463.206301
5638,1.868150563,0.468038712,130.258987,2281.47894
5639,0,0.043576769,31.76017949,2484.54752
5640,0,0.385654409,9.066326396,2642.613668
5641,0,0,2.662305498,2586.867638
5642,0,1.734766978,0.598535585,2413.315709
5643,0,8.370089679,0.597477816,2831.056387
5644,0,11.81131084,3.306163382,2668.925412
5645,0.033772881,12.02509423,3.948804831,2682.761643
5646,8.410718782,9.857343634,139.7911456,2571.685389
5647,83.19711677,3.54386261,890.1597231,2164.658231
5648,151.7933919,0.258458661,1713.790008,2040.660244
5649,140.1924323,0.019609546,2493.187586,1919.533908
5650,167.5308991,0.051384274,2151.149039,1591.178711
5651,232.6243035,0.505672094,2345.026985,1453.03156
5652,251.7599629,7.941999365,2867.576426,997.7591054
5653,247.2585365,28.69618626,2798.670631,1594.413219
5654,189.5938446,23.90031767,2506.66359,1918.372467
5655,216.458449,11.42353812,2051.602885,1589.160591
5656,133.2832771,14.7385773,1879.200874,1293.043159
5657,50.27568433,2.725545353,1333.490599,1521.564761
5658,27.30753551,0.121288675,1210.85035,1425.359911
5659,13.05119494,2.16068148,1074.117337,1953.428566
5660,4.862952038,0.403085116,786.0496617,2258.3194
5661,1.905301285,1.019696403,448.3545237,1952.647954
5662,1.435610021,4.671042325,142.1296959,1974.97957
5663,0,7.641113877,30.44387596,1832.076041
5664,0,3.129768307,5.519949854,1659.518134
5665,0,5.739868509,4.691529912,1485.077406
5666,0,3.447915037,2.338304572,1266.183598
5667,0,5.957519341,1.554846044,847.3005266
5668,0,2.955288738,4.023754,634.8245672
5669,0.030925764,2.91452025,3.328522756,547.3733357
5670,5.565067503,8.68670517,94.52470328,394.9528726
5671,29.67767138,0.400482615,768.7490595,237.1179997
5672,47.27213972,0,1906.393211,93.36786733
5673,87.23211357,0.00054471,2873.646186,33.78432058
5674,124.7288481,0.019609546,2931.579728,85.81048302
5675,141.351767,0.009260063,3219.498818,93.25023323
5676,187.3922884,0.004357677,3610.147888,98.68800708
5677,228.6435677,5.634294707,3666.783427,870.0903443
5678,166.4704754,10.23477898,3366.487713,895.2330131
5679,125.0588261,2.50081027,3011.408546,646.6739986
5680,84.74301799,5.635565696,2862.339059,244.0343872
5681,54.01410006,6.313729169,1991.055598,144.1415599
5682,15.43394104,20.17485795,1367.079571,141.73407
5683,5.051939748,13.06621286,1136.88061,200.7559439
5684,3.084914088,9.832417116,803.7884354,165.0690016
5685,1.770895282,4.137018095,374.0612926,172.1874162
5686,0,6.077070997,135.1684049,215.1183028
5687,0,15.10809014,35.99109448,474.2284879
5688,0,29.91402683,10.30075549,727.4665838
5689,0,12.58741613,2.566620941,773.0330089
5690,0,12.70931004,0.546157344,745.0967837
5691,0,17.44769057,0.574580224,791.8884897
5692,0,10.90455392,3.250313168,609.0162627
5693,0.030234717,23.7251905,3.189130554,361.855985
5694,2.057334531,28.94704622,154.0589586,159.6041924
5695,18.55926483,45.39256188,1151.242116,133.4944294
5696,48.12367074,43.56845647,2778.419618,93.89327302
5697,47.49245953,73.55331372,4166.641706,73.77831775
5698,72.15145819,140.6996621,3928.917557,111.81636
5699,75.38695985,175.4770683,4166.590827,104.6764247
5700,81.01463351,205.3762971,4208.381235,245.1633551
5701,103.4329765,240.7499152,4302.219359,889.0682826
5702,104.227333,262.2519339,4271.967832,735.683567
5703,78.7047957,167.6183217,3708.4102,712.5613231
5704,75.04276561,74.82916587,2624.767624,990.2089561
5705,65.66733602,77.45573748,1665.503432,873.1616574
5706,24.18822384,98.60379179,1309.829164,681.6689766
5707,5.006521333,69.44189092,1293.663383,885.1175095
5708,2.158722277,69.49223117,1097.540506,1100.125828
