,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,sum
2019-01-30,22.59184952,10.94865119,16.28770421,60.78836159,71.81553268,35.02819346,27.01632601,18.20805678,3.126282166,1.102465029,0.38207143,0.215305555,3.537525822,17.65527033,26.950631,22.84922178,20.24846033,28.768675,56.48240786,68.41031077,99.36064765,191.6052785,200.0771411,151.0944132,1154.550783
2019-01-31,105.8988214,174.9107972,215.8476042,202.4409871,148.6185991,222.2293706,276.1777409,293.0882994,345.7911185,450.4729073,422.5971264,543.7908128,656.6696128,678.3649701,656.9296027,677.788973,658.0714926,651.1636244,639.4797514,634.3147513,629.2124442,606.8906708,587.9310721,642.1361096,11120.81726
2019-02-01,609.0490191,674.9578448,646.3467755,636.4056978,604.3497487,560.3928871,581.788288,567.336467,534.8479367,516.8762113,477.8147215,489.4166339,497.8222689,539.4022205,553.6341301,492.7190812,460.6293661,372.8657738,252.9537256,223.802029,202.9310412,135.5868785,105.3670063,92.91863634,10830.21439
2019-02-02,45.83231503,29.84548723,15.30379826,29.68697371,73.49705429,50.83053114,46.60140265,22.32769561,20.95064549,18.11090479,15.83868192,70.75207491,150.0744384,318.5105599,358.3477283,335.1876468,230.3206991,219.0546849,246.3226184,220.0517608,250.3778574,270.7036423,318.7515395,326.058592,3683.339333
2019-02-03,391.9605513,456.2116561,349.7737054,296.6760777,239.5177306,364.5768429,423.4015535,424.107942,504.4317693,447.5535543,395.3339834,372.73035,394.3675959,283.6303338,334.8227065,422.7478173,520.7487487,602.9125778,608.0227529,654.4609061,647.8281133,624.7826508,607.9197453,606.0412083,10974.56087
2019-02-04,639.4159266,635.6289752,665.1648919,645.1672643,585.8891918,581.7680429,603.566765,574.215977,601.6316841,600.2820752,536.5130293,456.538497,402.4576624,331.085823,226.7841628,170.662038,215.1896282,128.6956996,90.86707835,116.6855425,98.86642959,66.65777718,32.34332278,20.84673911,9026.924224
2019-02-05,12.64340017,22.54384547,4.087839895,6.859019809,22.475784,25.20881306,18.87129521,9.154135623,7.495870084,6.32979205,6.654354249,13.55429688,31.49779728,52.43672244,57.91009177,63.58981223,41.35393045,25.20260034,22.2609354,37.5119634,41.77963917,25.05550756,2.585651819,0.004357677,557.067456
2019-02-06,0,0,0,0.801630986,1.353881805,2.040191713,5.104316459,2.558755268,0.575939635,0.038129673,7.468162522,5.341604073,8.293905987,15.07399737,19.09805177,8.350985502,25.49240704,29.37486115,7.563087251,0.380425196,1.066686686,3.147540972,5.62941653,27.30474672,176.0587243
2019-02-07,49.8978642,53.20918725,44.71527297,100.4352599,70.62266703,84.99240934,42.27440497,131.2080819,249.9413967,498.9370262,652.7294588,672.6007077,601.0049321,557.7268089,653.8846305,674.8330367,665.4643672,648.6873079,623.0423187,666.7910922,655.2499876,652.3259198,643.5800561,633.1967046,10327.3509
2019-02-08,584.4335431,522.4024326,551.8664445,592.0996955,623.4160197,664.943534,591.843682,573.2419545,543.2806559,397.2376315,304.5355657,299.0174666,458.7203496,479.4283663,316.9935346,323.0249407,285.5761637,283.3626817,237.2577395,300.5684364,238.0144591,175.4222221,263.9049158,248.5941725,9859.186607
2019-02-09,292.7841244,384.6776687,466.7322291,320.0083389,408.3160355,504.86117,545.2015108,565.9148051,662.0508808,652.1486168,589.4143225,575.8957616,652.086302,686.9701323,691.8332029,669.0328809,661.7282917,662.964722,591.5704163,601.1221808,666.4505972,629.2346623,594.2140494,526.8212713,13602.03417
2019-02-10,572.0921935,525.7130596,413.7038976,238.546126,292.7922436,284.1406753,290.5322586,322.3335862,308.8793313,216.2065648,201.6991774,113.4351604,71.37966815,49.64129689,89.56366389,121.5909946,200.8294637,253.0567363,268.3001081,263.4768497,376.5606058,475.6547845,502.6147663,513.0274808,6965.770693
2019-02-11,522.7063654,610.7449755,633.7584454,594.11165,544.6685397,561.2692341,584.4531163,581.3878023,571.7812036,599.5050318,545.673771,562.8910676,503.7565231,511.7136623,496.6152892,501.4318658,488.8881506,474.0897036,462.2419336,404.6745277,368.0591533,285.757098,278.5726112,204.1980993,11892.94982
2019-02-12,175.6230837,214.7068037,262.8614095,259.3605608,271.6499723,335.3359228,322.3375717,291.3867839,185.7730847,64.85336302,78.18280075,125.4606813,136.1727197,137.4130326,111.2748905,59.43975137,38.70384553,20.0641427,29.76409551,19.76155348,21.70589445,33.48216534,43.05425665,47.7967679,3286.165154
2019-02-13,81.22750962,44.06877831,52.06585387,87.60639211,133.5150603,179.9445042,266.1625798,274.0236776,301.7376617,359.8301827,395.6581552,429.3425591,425.0980758,398.609631,340.6181838,325.6193715,267.3320985,295.7970586,282.9521098,375.6602643,409.4424527,361.1555853,266.4304135,222.1518009,6576.04996
2019-02-14,239.3157886,215.0864209,275.180892,314.6761916,312.3986003,256.6495501,232.8570456,184.3204652,197.3946883,172.2319365,139.224991,67.78725678,39.04746954,40.43973522,47.02419717,45.1266982,38.46499339,38.46579835,20.66046355,19.9930944,12.99155132,6.218060003,4.488597891,1.989660817,2922.034147
2019-02-15,1.398088017,0.768848546,1.960107295,36.5046198,176.2611989,71.61632329,7.867483089,19.44104029,21.71677654,8.757695964,49.57282992,119.3987593,132.4104104,243.5923098,340.5103646,413.4257416,457.3501961,446.6752796,412.9198698,356.3302116,352.267038,316.1169485,306.9546362,434.7676006,4728.584378
2019-02-16,447.2369721,481.3852023,571.260198,539.7303748,628.4980757,589.2547982,579.4811068,544.1882662,597.3051887,612.3719929,587.3367727,583.2235494,597.051236,593.8205603,563.9680432,607.017334,649.8589662,654.7898623,573.408796,541.4038135,556.1288427,587.9139924,587.9152483,518.5018306,13793.05102
2019-02-17,487.5942806,470.1988095,488.0302662,532.1322022,519.4050045,448.1469307,444.1232243,385.765478,375.9724404,367.5661033,412.2572517,459.1123408,470.751369,493.7984203,511.9859354,540.2029739,487.525971,390.8168245,384.6477218,375.5327932,385.124146,348.5099851,321.2806141,332.2580048,10432.73909
2019-02-18,326.1078549,303.212009,300.8370539,326.3650517,233.3342899,155.5497506,91.35461767,93.94515977,41.09637056,16.19871076,5.624919649,8.421201598,8.719847724,13.91900418,13.45818892,9.539508598,6.085659252,8.912357181,31.08377863,41.91580144,39.88285134,60.7345352,93.61390369,97.0095145,2326.921941
2019-02-19,121.8250956,144.2615728,136.3702314,187.8758091,163.0451486,233.4575819,390.7651043,490.652344,323.5286307,258.1890932,169.9896545,106.3115176,177.135473,411.5323128,500.8684182,435.7782699,494.3019922,549.6710287,506.9858643,534.4089492,444.1533498,321.0584271,391.9502745,303.065113,7797.181256
2019-02-20,252.9744851,263.2619466,245.4213993,312.4101965,254.2394128,217.5854427,162.5781902,143.6293737,134.4588817,189.0746665,240.8824884,250.5648229,272.5704953,286.1813209,303.95939,261.6116066,293.4391196,253.3732882,238.6322809,291.6160915,350.4214892,315.9368009,280.4252715,314.5850859,6129.833547
2019-02-21,305.5712705,266.0431461,250.1085802,266.2353742,287.2652688,329.8162441,359.9528816,346.1156656,287.5730691,271.98453,265.7705099,170.0122599,119.9153891,99.35592986,100.7142995,124.6343205,98.96695575,62.4157542,56.47573214,72.2348683,45.60535572,39.04675234,34.05668267,37.3068076,4297.177648
2019-02-22,31.57344534,28.3670606,32.03937179,55.39092478,64.78865152,43.91819031,35.1728411,37.61561861,23.46748838,36.27562387,33.39175867,54.84502588,75.52290501,73.40705918,52.59333251,51.52186145,80.74538109,119.1749018,143.5246019,189.2801794,276.5698834,401.2746833,473.7102165,477.0266387,2891.197645
2019-02-23,421.6879031,384.6714923,462.4238212,489.004092,405.0350831,371.9162693,324.5313533,316.7546945,243.32539,105.3901322,69.19013219,55.94312718,53.92543198,52.65901238,72.27784589,62.53493666,63.17480705,64.85613802,78.12422631,87.37187042,98.13268152,86.56015322,80.07583311,78.23707501,4527.803502
2019-02-24,43.96521993,41.84661424,31.0984404,17.15651302,13.87267663,65.69457019,109.1745991,111.4558188,77.11928548,60.4371298,54.79822322,41.83653106,61.53682892,59.28354378,57.46566622,65.81135896,64.47381541,102.3532066,113.0813563,85.2644918,96.45198303,114.4710921,238.783456,235.5471304,1962.979551
2019-02-25,142.8044443,152.9016266,174.5899179,201.9093596,240.1062984,299.5801577,237.5812334,289.8021298,355.6238534,373.3567025,336.1725514,280.7767272,322.1770609,327.2503713,297.9397586,217.9282648,225.1090325,351.0237776,427.6267783,481.6242874,469.0634894,396.4934583,419.9428139,452.4169941,7473.801089
2019-02-26,436.905262,385.0824425,431.9908223,458.8860684,456.2000296,499.6764967,422.3688567,391.7280995,327.5646596,375.5349387,396.22278,385.1803661,402.115146,359.3798622,168.160801,88.22415032,73.31073031,26.81347615,19.45814114,22.57383778,23.88624903,17.14256846,20.40433201,33.70942424,6222.519541
2019-02-27,15.45371747,21.53152988,16.50920432,25.4312876,44.13815918,56.56230466,63.97349963,63.50575143,127.5475395,173.5059124,141.3871643,63.59506263,53.46743711,44.03847732,36.55699968,59.78562079,82.89129489,83.31405915,159.93374,158.8265178,122.7053918,170.4902759,155.9554927,176.9450546,2118.051495
2019-02-28,226.2073728,272.0702733,283.5617125,281.9809259,285.3230583,280.3076173,282.3457239,278.9479736,228.3842715,228.2886992,250.3578,234.7184939,107.57722,115.6817274,156.7540702,227.5358681,286.2551412,327.2751586,354.821947,404.6381804,343.976603,298.316156,224.3961135,255.0832558,6234.805363
2019-03-01,260.2205665,288.9719258,295.9529908,371.2421549,367.0097763,315.4449372,286.5169468,174.2625716,155.9124788,182.8569969,202.5874898,218.6761632,267.5446049,310.5458643,316.1841445,318.4786339,333.1336073,296.2453637,318.4137257,272.1558744,214.4130388,182.5552611,153.6718188,144.3967546,6247.39369
